# Reseau de metro long créé par le script python (généré par IA)
# Format :
# STATION;id;nom
# EDGE;id_depart;id_arrivee;temps_en_minutes
STATION;0;Rue Clichy
STATION;1;Mairie de Monceau
STATION;2;Porte de Jaurès
STATION;3;Pont Lecourbe
STATION;4;Mairie de Martin
STATION;5;Place Sèvres
STATION;6;Saint Michel
STATION,7,Porte de Orléans
STATION;8;Boulevard Vincennes
STATION;9;Mairie de Voltaire
STATION;10;Porte de Sèvres
STATION;11;Église Monceau
STATION;12;Église Martin
STATION;13;TEST_DO_NOT_USE_13
STATION;14;Pont Lazare
STATION;15;Mairie de Vincennes
STATION;15;Doublon Avenue Jaurès
STATION;17;Porte de Lecourbe
STATION;18B;Général Clichy
STATION;19;Saint Jaurès
STATION;20;Boulevard Vincennes
STATION;21;Avenue Sèvres
STATION;22;Place Hugo
STATION;23;Mairie de Michel
STATION;24;Église Voltaire
STATION;25;Pont Martin
STATION;26B;Boulevard Jaurès
STATION;27;Église Dumas
STATION;28;Château Michel
STATION;29;Porte de Italie
STATION;30;Général Martin;En travaux
STATION,31,Boulevard Clichy
STATION;32;Général Lecourbe
STATION;33;Église Italie
STATION;34;Rue Jaurès
STATION;35;Boulevard Martin
STATION;36;Église Pasteur
STATION;37B;Église Voltaire
STATION;38;Avenue Clichy
STATION;39;Église Hugo
STATION;40;Saint Lecourbe
STATION;41;Pont de 
STATIO;42;Château Martin
STATION;43;Rue Lazare
STATION;44;Rue Jaurès
STATION;45;TEST_DO_NOT_USE_45
STATION;46;Pont Monceau
STATION;46;Doublon Église Lecourbe
STATION;48;Boulevard Voltaire
STATION;49;Porte de Sèvres
STATION;50;Pont Clichy
STATION;51;Général Italie
STATION;52;Boulevard Dumas
STATION;53;Château Jaurès
STATION;54;Général Clichy
STATION;55;Saint Lazare
STATION;56;Avenue Vincennes
STATION;57B;Place Italie
STATION;58;Saint Vincennes
STATION;59;Boulevard Sèvres
STATION;60;Général Hugo
STATION;61;Porte de Clichy
STATION;62;Boulevard Martin
STATION;63;Boulevard Italie
STATION;64;Boulevard Martin
STATION;65;Saint Jaurès
STATION;66;Rue Sèvres
STATION;67;Général Lazare;En travaux
STATION;68;Mairie de Monceau
STATION;69;Place Pasteur
